state,district,college_name
Delhi,Delhi,National Law University
Delhi,Delhi,Indraprastha Institute of Information Technology
Delhi,Delhi,Guru Gobind Singh Indraprastha Vishwavidyalaya
Delhi,Delhi,Delhi Technological University
Delhi,Delhi,Ambedkar University Delhi (AUD)
West Bengal,Kolkata,West Bengal State University
West Bengal,Kolkata,Maulana Abul Kalam Azad University of Technology
West Bengal,Kolkata,West Bengal University of Animal and Fishery Sciences
West Bengal,,Vidya Sagar University
West Bengal,,Uttar Banga Krishi Vishwavidyalaya
West Bengal,Kolkata,The West Bengal University of Health Sciences
West Bengal,Kolkata,The West Bengal National University of Juridical Science
West Bengal,,The Bengal Engineering & Science University
Bihar,Patna,Patna University
Odisha,,National Law University
Bihar,Patna,Arybhatta Knowledge University
Uttarakhand,,Indian Institute of Technology (Roorkee)
Tripura,West Tripura,National Institute of Technology
Chhattisgarh,Raipur,National Institute of Technology
Rajasthan,Jaipur,Malviya National Institute of Technology
Uttar Pradesh,Prayagraj,Motilal Nehru National Institute of Technolgy
Kerala,,National Insitute of Technology
Himachal Pradesh,,National Institute of Technology
Haryana,,National Institute of Technology
Odisha,,National Institute of Technology
Karnataka,Surat,National Institute of Technology Karnataka
Assam,Cachar,National Institute of Technology
Maharashtra,Nagpur,Visvesvaraya National Institute of Technology
Madhya Pradesh,Bhopal,Maulana Azad National Institute of Technology
Andhra Pradesh,,National Institute of Technology
Gujarat,Surat,Sardar Valabh Bhai National Institute of Technology
Jharkhand,,National Institute of Technology
Punjab,,B.R.Ambedkar National Institute of Technology
Tamil Nadu,,National Institute of Technology
Bihar,Patna,National Institute of Technology
Jammu and Kashmir,Srinagar,National Institute of Technology
West Bengal,,National Institute of Technology
Assam,Kamrup Metropolitan,Indian Institute of Technology
Delhi,Delhi,All India Institute of Medical Sciences
Delhi,Delhi,Indian Institute of Technology
Kerala,Thiruvananthapuram,Sree Chitra Tirunal Institute for Medical Sciences & Technology
Maharashtra,Mumbai City,Indian Institute of Technology
Tamil Nadu,Chennai,Dakshina Bharat Hindi Prachar Sabha
Tamil Nadu,Chennai,Indian Institute of Technology
Uttar Pradesh,,Indian Institute of Technology
West Bengal,Kolkata,Indian Statistical Institute
Chandigarh,Chandigarh,Post-Graduate Institute of Medical Education & Research
Punjab,,National Institute of Pharmeutical Education & Research
Punjab,,Indian Institute of Technology Ropar
Gujarat,Ahmedabad,Indian Institute of Technology
Andhra Pradesh,Hyderabad,Indian Institute of Technology
Manipur,,National Institute of Technology
Odisha,,Indian Institute of Technology
Bihar,Patna,Indian Institute of Technology
Karnataka,Bengaluru Urban,Alliance University
Haryana,,Apeejay Stya University
Karnataka,Bengaluru Urban,Azim Premji University
Himachal Pradesh,,Baddi University of Emerging Sciences & Technology
Odisha,,Centurion University of Technolgy and Management
Chandigarh,Chandigarh,Chitkara University
Meghalaya,,CMJ University
Rajasthan,,Dr K N Modi University
Uttar Pradesh,Delhi,G L A University
Uttar Pradesh,Delhi,IFTM University
Uttar Pradesh,Lucknow,Invertis University
Himachal Pradesh,,Maharishi Markandeshwar University
Gujarat,Vadodara,Navrachana University
Uttar Pradesh,,Noida International University
Rajasthan,Udaipur,Pacific Academy of Higher Education & Research (PAHER)
Andhra Pradesh,,dsdsds
Delhi,Delhi,South Asian University
Delhi,Delhi,University College of Medical Sciences
Andhra Pradesh,Patna,Damodaram Sanjivayya National Law University
Telangana,Hyderabad,Jawaharlal Nehru Architecture and Fine Arts University
Chhattisgarh,Raipur,Ayush and Health Sciences University of Chhattisgarh
Gujarat,,Gujarat Forensic Sciences University
Haryana,,Lala Lajpat Rai University of Veterinary & Animal Sciences
Haryana,,YMCA University of Science & Technology
Himachal Pradesh,,Himachal Pradesh Technical University
Jharkhand,Ranchi,National University of Study & Research in Law
Karnataka,,Rani Channamma University
Karnataka,,Vijayanagara Sri Krishnadevaraya University
Kerala,Ernakulam,Kerala University of Fisheries & Ocean Studies
Kerala,,Kerala Veterinary & Animal Sciences University
Kerala,,Kerala University of Health Sciences
