state,district,college_name
Gujarat,Surendranagar,"Sarvodaya Polytechnic Institute, Limbdi"
Maharashtra,Gadchiroli,"GANGABAI TALMALE ART, COMMERCE AND SCIENCE COLLEGE, BRAMHAPURI"
Maharashtra,Pune,"Arihant Education Foundations Arihant College of Education, Pune"
Karnataka,Bengaluru Urban,"International Institute of Business Studies, No.70, Sujatha Complex, KHB Main Road, RT Nagar, Bangalore-560"
Gujarat,Surat,Prabhu BCA College
Maharashtra,Pune,"ARIHANT EDUCATION FOUNDATION'S ARIHANT INSTITUTE OF TEACHER TRAINING, BAWDHAN"
Andhra Pradesh,Guntur,"Sri Subbaraya & Narayana College, Palnadu Road, Narasaraopeta,PIN- 522601 (CC-2P)"
Kerala,Pathanamthitta,"Mar Severios College of Teacher Education, Chengaroor P.O. Mallapally 689"
Gujarat,Mehsana,Manish Institute of Computer Studies
Gujarat,Kutch,S.D.Shethia College of Education
Gujarat,Ahmedabad,AHMEDABAD HOMOEPETHIC MEDICAL COLLEGE
Gujarat,Junagadh,"SMT. C.P. CHOKSI ARTS & SHREE P.L. CHOKSI COMMERCE COLLEGE, VERAVAL"
Gujarat,Surendranagar,"SHREE A.V.J. OZA INSTITUTE OF B.ED. COLLEGE, LAKHTAR"
Maharashtra,Bhandara,"Manoharhai Patel Institute of Engineering and Technology, Shahapur"
Maharashtra,Ahmadnagar,"Kukadi Education Societys Arts College,Pimplegaon Pisa, Tal. Shrigonda,Dist.Ahmednagar"
Gujarat,Gandhinagar,Sarvoday College of Education
Gujarat,Rajkot,SADAR PATEL KELVANI MANDAL MAHILA B.ED.COLLEGE-JETPUR
Maharashtra,Bhandara,"Samarth College, Lakhni"
Gujarat,Surat,"GOVERNMENT POLYTECHNIC, VYARA"
Gujarat,Sabarkantha,SHRI K K SHAH NURSING COLLEGE VATRAK
Gujarat,Bhavnagar,Adarsh B.C.A. College
Andhra Pradesh,Chittoor,"Sri Surya Degree College, NAGARI Rural"
Gujarat,Junagadh,"GOVERNMENT ARTS COLLEGE, BHESAN"
Gujarat,Surat,"Shri Tapi Brahmcharyashram sabha college of Diploma Engg,Surat."
Maharashtra,Kolhapur,"Dattajirao Kadam Arts, Science & Commerce College, ICHALKARANJI"
Telangana,Hyderabad,PRESIDENCY DEGREE COLLEGE FOR COMMERCE & SCIENCE
Karnataka,Bengaluru Urban,"St. Anne's Evening College, #2 Cambridge Road, Ulsoor, Bangalore-560 008.(9-10/10-11)"
Gujarat,Kutch,"SHRI RAJABHAI P PATEL COMMERCE COLLEGE, KACHCHH"
Gujarat,Patan,"GOVT ARTS & COMMERCE COLLEGE, SAMI"
Telangana,Khammam,"Rams Degree College, Bhadrachalam (Sampurna, Erragunta)"
Maharashtra,Chandrapur,"Yadavrao Poshettywar Arts College, Balapur"
Gujarat,Patan,"SHRI ADARSH BCA COLLEGE, RADHANPUR"
Maharashtra,Yavatmal,"Shri Sai College of Education, Lohara, Yavatmal."
Haryana,Gurgaon,RAO DALIP SINGH COLLEGE OF EDUCATION
Andhra Pradesh,Krishna,"VIGNAN DEGREE COLLEGE,KAIKALURU"
Karnataka,Dakshina Kannada,"Kurunji Venkatramana Gowda Law College, Sullia"
Gujarat,Ahmedabad,J. G. College of Education
Haryana,Sonipat,PARADISE COLLEGE OF EDUCATION
Karnataka,Vijayapura,"Anjuman-E-Islam committee's Anjuman Degree College for Women,Muddebihal- 586212"
Telangana,Rangareddy,Sri Indu Institute of Management
Telangana,Hyderabad,THE PROGRESS DEGREE COLLEGE FOR WOMEN
Telangana,Hyderabad,AMS College of Law College for Women
Maharashtra,Satara,Venutai Women's College of Education
Maharashtra,Latur,"Shahu Raje Adhyapak Mahavidyalaya, Ahemadpur"
Maharashtra,Solapur,VASUNDHARA MAHAVIDYALYA JULE SOLAPUR PLOT NO 22 BIJAPUR ROAD SOLAPUR
Gujarat,Kutch,"SHRI SAHJANAND GIRLS INSTITUTE, BHUJ"
Gujarat,Junagadh,N.R.Vekaria Institute of Business Management Studies (SFI)-Junagadh
Maharashtra,Pune,"Zeal Education Societys Zeal Institute of Management and Computer Application, Narhe"
Karnataka,Bidar,Doddappa Appa B C A Degree College Basavakalyan
Maharashtra,Satara,"Arts, Comm. & Science College, VATHAR-STATION,"
Gujarat,Surat,Shri Mahavir Vidhyamandir Trust B. Ed. College
Telangana,Hyderabad,Omega Degree College (Habsiguda)
Karnataka,Bengaluru Urban,Vokkaligara Sanga Dental College & Hospital
Karnataka,Dakshina Kannada,"Sri Narayanguru College, Kurdoli, Mangalore-575003"
Karnataka,Bidar,Sharanabasweshwar College of Mgmt Basavakalyan
Maharashtra,Pune,"Shri Jain Vidya Prasarak Mandals College Iof Education, Chinchwad, Pune"
Gujarat,Surendranagar,Pujya Ladakchand Manekchand Vora College of Arts & Commerce - Sayla
Maharashtra,Latur,"Channbasweshwar Pharmacy College, Latur"
Odisha,Ganjam,"Polasara Science College, Polasara"
